chemical_formula	HMDB_ID	KEGG_compound_ID	mass	ion.type	m.z	Number_profiles_processed	Percent_found	mz_min	mz_max	RT_mean	RT_sd	RT_min	RT_max	int_mean(log)	int_sd(log)	int_min(log)	int_max(log)
C6H17N3	HMDB11634	C03375	131.14225	M+H	132.1496	NA	NA	NA	NA	127.2	NA	NA	NA	NA	NA	NA	NA
C4H8N2O3	HMDB00168	C00152	132.05349	M+H	133.0608	NA	NA	NA	NA	91	NA	NA	NA	NA	NA	NA	NA
C4H8N2O3	HMDB00026	C02642	132.05349	M+H	133.0608	NA	NA	NA	NA	39.5	NA	NA	NA	NA	NA	NA	NA
C5H12N2O2	HMDB03374	C00515	132.089874	M+H	133.0972	NA	NA	NA	NA	110	NA	NA	NA	NA	NA	NA	NA
C5H12N2O2	HMDB00214	C00077	132.089874	M+H	133.0972	NA	NA	NA	NA	109.5	NA	NA	NA	NA	NA	NA	NA
C4H7NO4	HMDB06483	C00402	133.03751	M+H	134.0448	NA	NA	NA	NA	87.3	NA	NA	NA	NA	NA	NA	NA
C4H7NO4	HMDB00191	C00049	133.03751	M+H	134.0448	NA	NA	NA	NA	85.2	NA	NA	NA	NA	NA	NA	NA
C4H6O5	HMDB00156	C00149	134.02153	M+H	178.9927	NA	NA	NA	NA	43.2	NA	NA	NA	NA	NA	NA	NA
C4H6O5	HMDB31518	C00497	134.02153	M+H	178.9927	NA	NA	NA	NA	43.2	NA	NA	NA	NA	NA	NA	NA
C4H9NO2S	HMDB00742	C05330	135.0354	M+H	136.0432	NA	NA	NA	NA	59	NA	NA	NA	NA	NA	NA	NA
C5H5N5	HMDB00034	C00147	135.0545	M+H	136.0618	NA	NA	NA	NA	42.6	NA	NA	NA	NA	NA	NA	NA
C5H4N4O	HMDB00157	C00262	136.03851	M+H	137.04631	NA	NA	NA	NA	44.2	NA	NA	NA	NA	NA	NA	NA
C7H8N2O	HMDB00699	C02918	136.0637	M+H	137.0709	NA	NA	NA	NA	50	NA	NA	NA	NA	NA	NA	NA
C8H12N2		C04203	136.10005	M+H	137.10785	NA	NA	NA	NA	31.1	NA	NA	NA	NA	NA	NA	NA
C7H7NO2	HMDB00875	C01004	137.04768	M+H	138.055	NA	NA	NA	NA	67.6	NA	NA	NA	NA	NA	NA	NA
C7H7NO2	HMDB01392	C00568	137.04768	M+H	138.055	NA	NA	NA	NA	30	NA	NA	NA	NA	NA	NA	NA
C7H7NO2	HMDB01123	C00108	137.04768	M+H	138.055	NA	NA	NA	NA	30	NA	NA	NA	NA	NA	NA	NA
C7H7NO2	HMDB15687	D01811	137.04768	M+H	138.05548	NA	NA	NA	NA	30	NA	NA	NA	NA	NA	NA	NA
C8H11NO	HMDB00306	C00483	137.08406	M+H	138.0913	NA	NA	NA	NA	31.1	NA	NA	NA	NA	NA	NA	NA
C8H11NO	HMDB01065	C02735	137.08406	M+H	138.0913	NA	NA	NA	NA	31.7	NA	NA	NA	NA	NA	NA	NA
C7H6O3	HMDB00500	C00156	138.0317	M+H	139.039	NA	NA	NA	NA	30	NA	NA	NA	NA	NA	NA	NA
C6H6N2O2	HMDB00301	C00785	138.04293	M+H	139.0502	NA	NA	NA	NA	38	NA	NA	NA	NA	NA	NA	NA
C6H5NO3	HMDB02658	C01020	139.02694	M+H	140.0342	NA	NA	NA	NA	37.8	NA	NA	NA	NA	NA	NA	NA
C2H5O5P	HMDB04110	C05682	139.98746	M+H	140.9947	NA	NA	NA	NA	90	NA	NA	NA	NA	NA	NA	NA
C2H8NO4P	HMDB00224	C00346	141.0191	M+H	142.0264	NA	NA	NA	NA	125	NA	NA	NA	NA	NA	NA	NA
C2H8NO4P	HMDB00224	CA1062	141.0191	M+H	142.0264	NA	NA	NA	NA	126.7	NA	NA	NA	NA	NA	NA	NA
C6H11N3O	HMDB03431	C00860	141.09021	M+H	142.0975	NA	NA	NA	NA	73.5	NA	NA	NA	NA	NA	NA	NA
C5H6N2O3	HMDB00469	C03088	142.03784	M+H	143.0451	NA	NA	NA	NA	43.9	NA	NA	NA	NA	NA	NA	NA
C10H9N		C14790	143.0735	M+H	144.0808	NA	NA	NA	NA	49.3	NA	NA	NA	NA	NA	NA	NA
C6H11NO3	HMDB03681	C02946	145.07389	M+H	146.0812	NA	NA	NA	NA	34.1	NA	NA	NA	NA	NA	NA	NA
C5H11N3O2	HMDB03464	C01035	145.08513	M+H	146.0924	NA	NA	NA	NA	38.2	NA	NA	NA	NA	NA	NA	NA
C7H16NO2	HMDB00895	C01996	145.1103	M+H	146.1176	NA	NA	NA	NA	31.9	NA	NA	NA	NA	NA	NA	NA
C7H15NO2	HMDB01161	C05543	145.110324	M+H	146.1176	NA	NA	NA	NA	65.9	NA	NA	NA	NA	NA	NA	NA
C7H19N3	HMDB01257	C00315	145.1579	M+H	146.1652	NA	NA	NA	NA	121	NA	NA	NA	NA	NA	NA	NA
